id,title,addr,addr_area,addr_sigun,cat_large,cat_middle,cat_sub,cat1,cat2,grade,review_num,ratings
2761834,춘천숲자연휴양림엔글램핑,강원도 춘천시 동산면 종자리로 224-104,강원도,춘천시,레포츠,육상레포츠,놀거리,육상레포츠|놀거리,레포츠|육상레포츠|놀거리,1,3,1.0
131704,춘천시청소년여행의집,강원도 춘천시 영서로 3035,강원도,춘천시,레포츠,육상레포츠,건강,육상레포츠|건강,레포츠|육상레포츠|건강,4,0,0.0
2774566,춘천중도 물레길,강원도 춘천시 스포츠타운길223번길 95,강원도,춘천시,레포츠,육상레포츠,건강,육상레포츠|건강,레포츠|육상레포츠|건강,1,80,3.9
2761843,춘천캠핑월드,강원도 춘천시 서면 툇골길 693-4,강원도,춘천시,레포츠,육상레포츠,놀거리,육상레포츠|놀거리,레포츠|육상레포츠|놀거리,1,4,5.0
2761849,춘천하늘캠핑장,강원도 춘천시 서면 방동1길 315,강원도,춘천시,레포츠,육상레포츠,놀거리,육상레포츠|놀거리,레포츠|육상레포츠|놀거리,1,1,0.0
2723684,친절한 수상레저,강원도 춘천시 남산면 방하로 800,강원도,춘천시,레포츠,수상레포츠,물놀이,수상레포츠|물놀이,레포츠|수상레포츠|물놀이,1,6,2.6
2706717,킹카누 나루터,강원도 춘천시 송앙동 684,강원도,춘천시,레포츠,수상레포츠,물놀이,수상레포츠|물놀이,레포츠|수상레포츠|물놀이,2,10,5.0
2761859,툇골 캠핑장,강원도 춘천시 서면 툇골길 413-52,강원도,춘천시,레포츠,육상레포츠,놀거리,육상레포츠|놀거리,레포츠|육상레포츠|놀거리,1,2,0.0
2734051,프라임캠핑장,강원도 춘천시 사북면 사여골길 25,강원도,춘천시,레포츠,육상레포츠,놀거리,육상레포츠|놀거리,레포츠|육상레포츠|놀거리,1,35,3.9
2761873,황금박쥐캠핑장,강원도 춘천시 남산면 홍천강변길 476,강원도,춘천시,레포츠,육상레포츠,놀거리,육상레포츠|놀거리,레포츠|육상레포츠|놀거리,1,47,2.8
2761880,힐링캠프,강원도 춘천시 서면 툇골길 693,강원도,춘천시,레포츠,육상레포츠,놀거리,육상레포츠|놀거리,레포츠|육상레포츠|놀거리,1,0,2.0
2759574,(주)데일리랜드,강원도 춘천시 동산면 윗성골길 36,강원도,춘천시,레포츠,육상레포츠,놀거리,육상레포츠|놀거리,레포츠|육상레포츠|놀거리,2,0,0.0
2723687,AT수상레저,강원도 춘천시 남산면 서천리 681-1,강원도,춘천시,레포츠,수상레포츠,물놀이,수상레포츠|물놀이,레포츠|수상레포츠|물놀이,1,0,0.0
2761821,YELLOW HILL,강원도 춘천시 동산면 종자리로 224-24,강원도,춘천시,레포츠,육상레포츠,놀거리,육상레포츠|놀거리,레포츠|육상레포츠|놀거리,1,11,5.0
2707068,로하스테이,강원도 춘천시 서면 덕두원길 12,강원도,춘천시,숙박,숙박시설,함께,숙박시설|함께,숙박|숙박시설|함께,1,16,4.0
2761774,다볼펜션,강원도 춘천시 남산면 둔일길 202,강원도,춘천시,숙박,숙박시설,함께,숙박시설|함께,숙박|숙박시설|함께,1,2,0.0
2710606,육림고개,강원도 춘천시 춘천로151번길 21-2,강원도,춘천시,쇼핑,쇼핑,시장,쇼핑|시장,쇼핑|쇼핑|시장,1,13,3.2
2787564,"샘밭장터(4, 9일)",강원 춘천시 신북읍 율문리 935-91,강원도,춘천시,쇼핑,쇼핑,시장,쇼핑|시장,쇼핑|쇼핑|시장,1,0,0.0
132443,옥산가(춘천옥),강원도 춘천시 동면 금옥길 219,강원도,춘천시,쇼핑,쇼핑,예술,쇼핑|예술,쇼핑|쇼핑|예술,3,0,0.0
2713242,요선당,강원도 춘천시 서부대성로44번길 10-21,강원도,춘천시,쇼핑,쇼핑,공장단지,쇼핑|공장단지,쇼핑|쇼핑|공장단지,1,3,5.0
2498132,이매진나미[한국관광 품질인증/Korea Quality],강원도 춘천시 남산면 남이섬길 1,강원도,춘천시,쇼핑,쇼핑,예술,쇼핑|예술,쇼핑|쇼핑|예술,2,0,0.0
132751,춘천 남부시장,강원도 춘천시 공지로 367,강원도,춘천시,쇼핑,쇼핑,시장,쇼핑|시장,쇼핑|쇼핑|시장,2,0,0.0
